second	Volt1	Volt2	clean	background	clean-back	dR/dN
-3.34E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.34E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.33E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.33E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.32E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.32E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.31E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.31E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.30E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.30E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.29E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.29E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.28E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.28E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.27E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.27E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.26E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.26E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.25E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.25E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.24E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.24E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.23E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.23E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.22E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.22E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.21E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.21E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.20E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.20E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.19E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.19E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.18E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.18E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.17E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.17E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.16E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.16E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.15E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.15E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-3.14E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-3.14E-02	1.94E+00	-6.15E-02	#N/A	-2.31E+00	#N/A	#N/A
-2.32E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.31E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.31E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.30E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.30E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.29E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.29E-02	1.94E+00	-1.67E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.28E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.28E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.27E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.27E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.26E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.26E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.25E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.25E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.24E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.24E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.23E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.23E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.22E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.22E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.21E-02	1.94E+00	-2.63E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.21E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.20E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.20E-02	1.94E+00	-6.15E-02	#N/A	-2.31E+00	#N/A	#N/A
-2.19E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.19E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.18E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.18E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
